date,maxtempm,mintempm,avgtempm,avgtempm_1,avgtempm_2,meanhdd_3,meanhdd_1,meanhdd_2,meancdd_1,meancdd_2,meancdd_3,minPrecipitationWaterEquiv,maxPrecipitationWaterEquiv,meanPrecipitationWaterEquiv,minSnowfall,maxSnowfall,meanSnowfall,Snow/IceDepth_1,Snow/IceDepth_2,Snow/IceDepth_3,mindewpt,maxdewpt,meandewpt,minpressure,maxpressure,meanpressure,minhumidity,maxhumidity,meanhumidity,Waterlevel_1,Waterlevel_2,Waterlevel_3,minWaterlevel_1,minWaterlevel_2,minWaterlevel_3,maxWaterlevel_1,maxWaterlevel_2,maxWaterlevel_3,Waterlevel
02/11/78,58,44,51,51,51,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,23,26,25,997,1003,1001.64,49,100,100,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
02/12/78,56,45,50.5,50.5,50.5,14.5,14.5,14.5,0,0,0,0.75,0.75,0.75,0,0,0,0,0,0,24,26,25,996,1004,1001.98,54,100,100,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
2/13/1978,60,49,54.5,54.5,54.5,10.5,10.5,10.5,0,0,0,0.23,0.23,0.23,0,0,0,0,0,0,24,27,26,999,1003,1001.47,66,100,100,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
2/14/1978,62,44,53,53,53,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,24,26,25,999,1005,1002.58,64,100,100,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
2/15/1978,61,46,53.5,53.5,53.5,11.5,11.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,23,27,25,1000,1007,1004.9,61,100,100,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
2/16/1978,68,52,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,21,25,23,1003,1008,1005.98,56,100,100,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
2/17/1978,66,48,57,57,57,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,22,25,23,1003,1008,1006.16,50,100,100,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
2/18/1978,67,49,58,58,58,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,23,25,24,1004,1008,1006.63,56,100,100,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
2/19/1978,70,48,59,59,59,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,22,25,23,1004,1011,1008.15,43,95,95,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
2/20/1978,73,49,61,61,61,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,21,23,22,1004,1011,1007.9,40,83,83,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
